search_term,result_count_raw,result_count,result_datasets
employment,"
      17 Results
        ",17,"Campaign Consultants - Employment of Local Officeholders and City Employees, Campaign Consultants - Employment of Local Officeholders and City Employees, Post- Employment Restriction Waivers, PPS -- employer, Post- Employment Restriction Waivers, Political Contributions Made, Arranged, or Delivered by Lobbyists to Candidates for Local Office in 2014, Lobbyist Activity - Payments Promised By Clients, Lobbyist Activity - Political Contributions, 2012_Lobbyists_Payments, Total Payments Promised by Clients of Registered Lobbyists in 2012"
energy,"
      16 Results
        ",16,"Existing Commercial Buildings Energy Performance Ordinance Report, Energy Benchmarking, San Francisco Municipal Buildings, Existing Commercial Buildings Energy Performance Ordinance Report, San Francisco Wind Monitoring Data - Current, San Francisco Wind Monitoring Data - Prior Year, Beach Water Quality, Elevation Contours, Maher Map, Water bodies, Orthophoto mosaic of SF Airport Lands (2014) - 10cm per pixel (zipped MrSID format)"
eviction,"
      5 Results
        ",5,"Eviction Notices, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Count of Eviction Notices By Analysis Neighborhood and Year, Buyout agreements, Petitions to the Rent Board"
evictions,"
      5 Results
        ",5,"Eviction Notices, Count of Eviction Notices By Analysis Neighborhood and Year, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Buyout agreements, Petitions to the Rent Board"
facilities,"
      34 Results
        ",34,"Mobile Food Facility Permit, City College of San Francisco Facilities Map, Surface Mounted Facilities Map, Surface Mounted Facility Permits, City College of San Francisco Facilities, Recreation and Parks Facilities, Health Care Facilities, Health Care Facilities Map, Wireless Service Facility Permits, San Francisco Facilities - Current (Zipped Shapefile Format)"
film,"
      1 Result
        ",1,Film Locations in San Francisco
fire,"
      25 Results
        ",25,"Fire Department Calls for Service, Fire Incidents, Fire Department Calls For Service (2016), Fire Violations, Fire Inspections, Fire Permits, Fire Safety Complaints, FD CFS sorted by earliest received date, Fire Incidents - Current Year (2016), Areas Damaged by Fire Following 1906 Earthquake"
flood,"
      1 Result
        ",1,San Francisco Flood Health Vulnerability
food,"
      8 Results
        ",8,"Mobile Food Facility Permit, Mobile Food Permit Map, Mobile Food Schedule, Food Inspections - LIVES Standard, Street-Use Permits, Open Spaces - City Planning, Street-Use Permit Map, Restaurant Scores"
footprint,"
      3 Results
        ",3,"Building Footprints, Schools, Map of Schools"
footprints,"
      3 Results
        ",3,"Building Footprints, Schools, Map of Schools"
gis,"
      67 Results
        ",67,"Off-street parking census GIS data, Regularly scheduled tow-away zone GIS data, San Francisco Property Information Map, List of Streets and Intersections, Planning Department Records Including Projects, Entitlements, Cases, Enforcement, Miscellaneous Permits, Zoning Administrator Letters of Determination, Planning Applications, List of Intersections only, Maher Map, Land Use, Planning Department Records, Zoning Districts"
graffiti,"
      7 Results
        ",7,"DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, FY07-11 Street Evaluation Results, Graffiti - 30 Days, Graffiti - 30 Day (Map), Open Graffiti 311 Cases (Last 90 Days), Graffiti - 30 Days (Chart by District), Graffiti - 30 Days (Chart by Type)"
health,"
      31 Results
        ",31,"Health Care Facilities, Health Care Facilities Map, San Francisco Flood Health Vulnerability, San Francisco Department of Public Health Flu Shot Locations 2013, Yes on E - Choose Health SF, Call Center Metrics for the Health Service System, Total Expenditures for Committees Formed to Support or Oppose Measure A - Retiree Health Care Trust Fund - November 5, 2013 Election, Total Contributions for Committees Formed to Support or Oppose Measure Measure A - Retiree Health Care Trust Fund - November 5, 2013 Election, Land Use, Travel Decision Survey Data 2014"
height,"
      21 Results
        ",21,"Height and Bulk Districts, San Francisco Development Pipeline 2015 Quarter 4, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2016 Quarter 2, San Francisco Development Pipeline 2015 Quarter 1, Housing Balance March 2016, Clearance Heights for Large Vehicle Circulation, Map of Clearance Heights for Large Vehicle Circulation, SF Development Pipeline 2016 Q3, Historic Height & Bulk Districts - 2013"
homeless,"
      4 Results
        ",4,"San Francisco Flood Health Vulnerability, HSA 90 day emergency shelter waitlist, Affordable Housing Pipeline, Map of Affordable Housing Pipeline"
hospital,"
      4 Results
        ",4,"San Francisco Facilities - Current (Zipped Shapefile Format), Fire Department Calls for Service, Fire Department Calls For Service (2016), FD CFS sorted by earliest received date"
hospitals,"
      4 Results
        ",4,"San Francisco Facilities - Current (Zipped Shapefile Format), Fire Department Calls for Service, Fire Department Calls For Service (2016), FD CFS sorted by earliest received date"
hotel,"
      3 Results
        ",3,"Petitions to the Rent Board, Land Use, 2014 Housing Inventory"
housing,"
      100 Results
        ",100,"2013 Housing Inventory, Housing Balance March 2016, 2012 Housing Inventory, 2011 Housing Inventory, Mayor’s Office of Housing and Community Development Grants and Loans, San Francisco Pipeline Map Fourth Quarter 2012, Affordable Housing Pipeline, San Francisco Development Pipeline 2016 Quarter 1, Pipeline 2012, Second Quarter Data, San Francisco Development Pipeline Q1 2012"
imagery,"
      14 Results
        ",14,"Orthophoto mosaic of San Francisco proper (2012) - 6 inch per pixel (zipped MrSID format), Orthophoto mosaic of San Francisco proper (2014) - 10cm per pixel (zipped MrSID format), Orthophoto 1ft resolution (1993) - (Zipped MrSID Format), Orthophoto 1ft  (2001) - Treasure Island (Zipped MrSID Format), Orthophoto mosaic of San Francisco proper (2011) - 6 inch per pixel (zipped MrSID format), Orthophoto 1ft (1993) - Treasure Island (Zipped MrSID Format), Orthophoto mosaic of SF Airport (2012) - 6 inch per pixel (zipped MrSID format), Orthophoto mosaic of SF Airport and PUC Lands (2010) - 6 inch per pixel (zipped MrSID format), Orthophoto mosaic of San Francisco proper (2010) - 6 inch per pixel (zipped MrSID format), Orthophoto 1ft (1996) - Treasure Island (Zipped MrSID Format)"
incidents,"
      18 Results
        ",18,"Fire Incidents, Map: Crime Incidents - from 1 Jan 2003, SFPD Incidents - from 1 January 2003, SFPD Incidents - Previous Year (2015), SFPD Incidents - Current Year (2016), SFPD Incidents - from 1 January 2003, SFPD Incidents - Previous Year (2014), Fire Incidents - Current Year (2016), West Portal Area, Mid-Market Assaults"
inclusionary,"
      3 Results
        ",3,"Residential Projects With Inclusionary Requirements, Map of Residential Projects with Inclusionary Requirements, Regression data for Inclusionary Housing Simulation Model"
income,"
      5 Results
        ",5,"Form 700 Schedule C, US Census Bureau Data, Form 700 Schedule B, Form 700 Schedule A2, Invest In Neighborhoods (IIN) Areas"
inventory,"
      20 Results
        ",20,"Dataset Inventory, Inventory of citywide enterprise systems of record, Department Open Data Inventory and Plan Status, Dataset Inventory Explorer, 2013 Housing Inventory, 2012 Housing Inventory, 2011 Housing Inventory, 2015 Housing Inventory, Commerce & Industry Inventory 2012, Commerce & Industry Inventory 2012 Data"
json,"
      1 Result
        ",1,Lobbyist Activity (API)
landuse,"
      31 Results
        ",31,"San Francisco Pipeline Map Fourth Quarter 2012, Basic Development Project Pipeline Map 2012 Q1, San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2016 Quarter 1, Pipeline 2012, Second Quarter Data, San Francisco Development Pipeline Q1 2012, San Francisco Development Pipeline 2014 Quarter 4, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2015 Quarter 2, San Francisco Development Pipeline 2015 Quarter 4"
library,"
      4 Results
        ",4,"Census 2000: Tracts for San Francisco (no water), Census 2000: Blocks for San Francisco (no water), Census 2000: Block Groups for San Francisco (no water), Areas Damaged by Fire Following 1906 Earthquake"
lobbyist,"
      25 Results
        ",25,"Lobbyist Activity - Contacts of Public Officials, Lobbyist Directory, Lobbyist Activity - Political Contributions, Lobbyist Activity - Payments Promised By Clients, Lobbyist Client Directory, Lobbyist Activity - Activity Expenses, Lobbyist Data Name Mapping, Client Directory with Number of :Lobbyists - SF Ethics Commision., Lobbyist Activity - Contacts of Public Officials - 2013, Political Contributions Made, Arranged, or Delivered by Lobbyists to Candidates for Local Office in 2014"
lots,"
      95 Results
        ",95,"PrivateGarages/Lots, City Lots, Off-street parking lots and parking garages map, Off-Street parking lots and parking garages, Boiler Permits, Mobile Food Permit Map, 2011 Housing Inventory, Historic Secured Property Tax Rolls, Mobile Food Schedule, Mobile Food Facility Permit"
map,"
      124 Results
        ",124,"Street Names, CCSF Digital Basemap CAD Files, All cases map view, Maher Map, Street Tree Map, Mobile Food Permit Map, Street Segment and Intersection (CNN) Change Log, Map: Crime Incidents - from 1 Jan 2003, Park and Open Space Map, San Francisco Property Information Map"
meter,"
      9 Results
        ",9,"Parking meters, Meter Location Lookup, Meter Rate Schedules, Metered motorcycle spaces, Meter Operating Schedules, Blue Zone (Accessible) Parking, Map of Blue Zone (Accessible) Parking, Disabled parking spaces, Parking Regulations"
movie,"
      1 Result
        ",1,Film Locations in San Francisco
muni,"
      3 Results
        ",3,"MUNI Feedback, Muni Driver Reported Transit Only Lane Violations, Neighborhood Specific Impact Fee Areas"
neighborhood,"
      102 Results
        ",102,"Sunnyside Neighborhood, 90 Day Cases by Neighborhood, Analysis Neighborhoods, Realtor Neighborhoods, Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods, Planning Neighborhood Groups Map, SF Find Neighborhoods, Count of Eviction Notices By Analysis Neighborhood and Year, Assessments by Year and Neighborhood Code, Invest In Neighborhoods (IIN) Areas"
neighborhoods,"
      102 Results
        ",102,"Analysis Neighborhoods, Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods, Planning Neighborhood Groups Map, Sunnyside Neighborhood, 90 Day Cases by Neighborhood, Planning Department Neighborhood Quadrants, Realtor Neighborhoods, SF Find Neighborhoods, Assessments by Year and Neighborhood Code, Invest In Neighborhoods (IIN) Areas"
noise,"
      5 Results
        ",5,"Aircraft Noise Complaint Data, Noise Exceedance Rating, Noise Reports, Late Night Preferential Runway Use, Nighttime Power Runups"
parcel,"
      75 Results
        ",75,"CCSF Digital Basemap CAD Files, City Lots, Parcels With Planning Department Zoning, Assessor Block Maps, SF Housing Authority Parcels, Affordable Housing Bonus Program Zoning Districts and Eligible Parcels, Recorded Parcel Geography with Transaction Date History, Total Expenditures for Committees Formed to Support or Oppose Measure A - Parcel Tax - November 6, 2012 Election, Total Contributions for Committees Formed to Support or Oppose Measure A - Parcel Tax - November 6, 2012 Election, Department of Building Inspection Monthly Permit Reports"
parcels,"
      75 Results
        ",75,"Affordable Housing Bonus Program Zoning Districts and Eligible Parcels, Parcels With Planning Department Zoning, SF Housing Authority Parcels, Recorded Parcel Geography with Transaction Date History, Total Expenditures for Committees Formed to Support or Oppose Measure A - Parcel Tax - November 6, 2012 Election, Total Contributions for Committees Formed to Support or Oppose Measure A - Parcel Tax - November 6, 2012 Election, Assessor Block Maps, City Lots, Department of Building Inspection Monthly Permit Reports, CCSF Digital Basemap CAD Files"
park,"
      69 Results
        ",69,"Parking, Park Scores 2005-2014, Parking meters, Park Evaluation Scores starting Fiscal Year 2015, Off-street parking lots and parking garages map, Off-Street parking lots and parking garages, Recreation & Park Department Park Info Dataset, Park and Open Space Map, Parking Regulations, Presidio Boundary"
parking,"
      69 Results
        ",69,"Parking, Parking meters, Off-street parking lots and parking garages map, Off-Street parking lots and parking garages, Disabled parking spaces, Blue Zone (Accessible) Parking, Recreation & Park Department Park Info Dataset, Map of Blue Zone (Accessible) Parking, Park and Open Space Map, Residential Permit Parking Eligibility"
parks,"
      69 Results
        ",69,"Parking, Recreation & Park Department Park Info Dataset, Park and Open Space Map, Parking meters, Off-street parking lots and parking garages map, Off-Street parking lots and parking garages, Park Evaluation Scores starting Fiscal Year 2015, Parking Regulations, Open Spaces - City Planning, Park Scores 2005-2014"
pedestrian,"
      6 Results
        ",6,"D7 Pedestrian Issues, Estimated Yearly Pedestrian Volume at Intersections, Map of Estimated Yearly Pedestrian Volume at Intersections, Roadway Structures, Traffic Signals, Map of Traffic Signals"
permit,"
      76 Results
        ",76,"Mobile Food Facility Permit, Mobile Food Permit Map, Permit Types, Building Permits, Mobile Food Schedule, Street-Use Permits, Fire Permits, Parklet Permits, Boiler Permits, Plumbing Permits"
permits,"
      76 Results
        ",76,"Mobile Food Facility Permit, Mobile Food Permit Map, Street-Use Permits, Fire Permits, Permit Types, Street Use Permit Search, Utility Excavation Permits, Surface Mounted Facility Permits, Department of Building Inspection Monthly Permit Reports, Large Utility Excavation Permits"
pipeline,"
      28 Results
        ",28,"Pipeline 2012, Second Quarter Data, Affordable Housing Pipeline, San Francisco Development Pipeline Q1 2012, San Francisco Development Pipeline 2014 Quarter 4, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2012 Quarter 2, Map of Affordable Housing Pipeline, San Francisco Development Pipeline 2014 Quarter 2"
planning,"
      143 Results
        ",143,"Planning Department Records, Planning Department Records Including Projects, Entitlements, Cases, Enforcement, Miscellaneous Permits, Zoning Administrator Letters of Determination, Planning Applications, Planning Districts, Open Spaces - City Planning, San Francisco Property Information Map, San Francisco Pipeline Map Fourth Quarter 2012, Parcels With Planning Department Zoning, (Deprecated) Privately Owned Public Open Space (POPOS) and Public Art, Planning Areas, Planning Neighborhood Groups Map"
police,"
      37 Results
        ",37,"Police Calls for Service, Current Police Districts, Historic Police Districts, Police Stations (2011), Map of Police Stations (2011), Police Department Car Sectors, Historic Police Department Crime Reporting Plots, SFPD Incidents - from 1 January 2003, Map: Crime Incidents - from 1 Jan 2003, SFPD Incidents - from 1 January 2003"
poop,"
      0 Results
        ",0,
population,"
      8 Results
        ",8,"Travel Decision Survey Data 2015, Travel Decision Survey Data 2014, Travel Decision Survey Data 2012, Analysis Neighborhoods, Travel Decision Survey Data 2013, Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods, Vehicle Miles Traveled Estimates from SF-CHAMP – 2012, San Francisco City Survey Data 1996-2015"
poverty,"
      1 Result
        ",1,San Francisco Flood Health Vulnerability
property,"
      28 Results
        ",28,"Historic Secured Property Tax Rolls, San Francisco Property Information Map, Recreation and Parks Properties, Recreation and Parks Facilities, Map of Historic Secured Property Tax Rolls Fiscal Year 2014, Form 700 Schedule A2, San Francisco City Lands - Current (Zipped Shapefile Format), Recreation & Park Department Park Info Dataset, Park and Open Space Map, Fire Incidents"
