Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
building footprints,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,61,1.84,0.00%,8.93%,0:01:34,6.52
crime,/Public-Safety/SFPD-Incidents-Previous-Year-2014-/v2gf-jivt,61,2.1,0.00%,7.81%,0:05:33,10.21
restaurants,/browse/embed?category=&limit=20&limitTo=&q=restaurants&view_type=rich,61,1.61,0.00%,0.00%,0:00:41,3.21
elevation,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,59,2.15,0.00%,6.30%,0:01:13,8.02
building,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,53,2.26,0.00%,10.83%,0:02:15,7.11
parking,/Transportation/Parking/9qrz-nwix,53,1.94,0.00%,2.91%,0:02:59,6.32
salary,/City-Management-and-Ethics/Employee-Compensation/88g8-5mnd,53,1.42,0.00%,2.67%,0:10:46,6.15
street,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,53,2.91,0.00%,13.64%,0:01:58,14.02
bike,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,51,2.2,0.00%,9.82%,0:03:38,10.88
parking,/browse/embed?category=&limit=20&limitTo=&q=parking&view_type=rich,51,2.35,0.00%,0.00%,0:01:49,6.76
income,/Economy-and-Community/Per-Capita-and-Household-Median-Income-San-Francis/rhzi-zuvx,48,3,0.00%,0.00%,0:01:29,9.62
income,/Economy-and-Community/US-Census-Bureau-Data/d53k-r35r,48,1.88,0.00%,12.22%,0:04:35,7.19
restaurant,/Economy-and-Community/Registered-Restaurants-in-SF/qwyj-4qec,47,3,0.00%,2.13%,0:05:36,10.85
building footprint,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,45,1.82,0.00%,3.66%,0:01:07,7.36
street cleaning,/City-Infrastructure/Street-Sweeper-Scheduled-Routes-Zipped-Shapefile-F/wwci-6uqu,45,1.78,0.00%,6.25%,0:01:43,5.67
311,/browse/embed?category=&limit=20&limitTo=&q=311&view_type=rich,43,2.6,0.00%,1.79%,0:02:15,8.26
business license,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,43,1.86,0.00%,12.50%,0:03:43,9.7
shapefiles,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=shapefiles&view_type=rich,43,1.6,0.00%,2.90%,0:00:18,4.86
trees,/City-Infrastructure/Street-Tree-Map/337t-q2b4,43,2.58,0.00%,2.70%,0:02:32,9.86
art,/Culture-and-Recreation/SF-Civic-Art-Collection/zfw6-95su,42,2.02,0.00%,2.35%,0:01:42,6.24
buildings,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,42,2.21,0.00%,8.60%,0:03:20,8.74
film,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,42,1.5,0.00%,4.76%,0:01:25,9.31
parcel,/browse/embed?category=&limit=20&limitTo=&q=parcel&view_type=rich,42,3.05,0.00%,3.91%,0:01:31,7.57
parking meter,/Transportation/Parking-meters/28my-4796,42,1.57,0.00%,0.00%,0:10:41,6.76
water,/Geographic-Locations-and-Boundaries/Water-Bodies-in-San-Francisco-Zipped-Shapefile-For/7wxv-7sn4,42,1.88,0.00%,6.33%,0:00:34,9.6
census,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,40,3.52,0.00%,5.67%,0:03:03,14.08
eviction,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,40,1.68,0.00%,2.99%,0:03:32,5.18
evictions,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,40,1.65,0.00%,0.00%,0:02:38,4.9
food truck,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,40,2.25,0.00%,8.89%,0:02:35,9.35
population,/browse/embed?category=&limit=20&limitTo=&q=population&view_type=rich,39,2.51,0.00%,0.00%,0:01:15,5.92
traffic,/browse/embed?category=&limit=20&limitTo=&q=traffic&view_type=rich,39,2.23,0.00%,5.75%,0:02:04,7.33
streets,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,37,2.38,0.00%,15.91%,0:02:19,9.19
land use,/Housing-and-Buildings/Land-Use/us3s-fp9q,35,1.06,0.00%,5.41%,0:06:50,1.91
parcels,/City-Infrastructure/Parcels-With-Planning-Department-Zoning/fpr2-m7in,35,1.97,0.00%,0.00%,0:01:01,7.2
parking,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=parking&view_type=rich,35,2.37,0.00%,2.41%,0:01:28,5.83
street sweeping,/City-Infrastructure/Street-Sweeper-Scheduled-Routes-Zipped-Shapefile-F/wwci-6uqu,35,1.6,0.00%,3.57%,0:01:57,5.09
traffic,/Transportation/Traffic-Density-San-Francisco-CA/rhp4-jr7s,35,3.2,0.00%,2.68%,0:02:54,15.4
311,/City-Infrastructure/311-Explorer/wp99-j4wh,34,2.21,0.00%,2.67%,0:03:12,8.21
address,/Geographic-Locations-and-Boundaries/Addresses-with-Units-Enterprise-Addressing-System-/kvej-w5kb,34,2.18,0.00%,4.05%,0:02:35,6.41
contours,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,34,1.74,0.00%,5.08%,0:02:27,7.03
crime,/Public-Safety/Map-Crime-Incidents-Previous-Three-Months/gxxq-x39z,34,2.65,0.00%,3.33%,0:02:02,10.47
footprint,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,34,1.79,0.00%,8.20%,0:00:40,9.59
meter,/Transportation/Meter-Operating-Schedules/6cqg-dxku,34,3.68,0.00%,1.60%,0:02:33,38.12
parking,/Transportation/Off-Street-parking-lots-and-parking-garages/uupn-yfaw,34,2.59,0.00%,2.27%,0:06:46,10.38
traffic,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=traffic&view_type=rich,34,2.21,5.88%,0.00%,0:02:32,5.09
460,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,32,3,0.00%,3.12%,0:09:56,11.84
crime,/Public-Safety/Crime-Calls-for-Service-Archived-XML-/gmfh-u26p,32,1.81,0.00%,5.17%,0:03:17,6.41
crime,/Public-Safety/SFPD-Incidents-Current-Year-2016-/9v2m-8wqu,32,1.34,0.00%,4.65%,0:03:50,4.06
inclusionary,/login,32,2.66,0.00%,11.76%,0:23:57,25.53
movie,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,32,1.84,0.00%,5.08%,0:04:42,6.78
parking,/Transportation/Off-street-parking-lots-and-parking-garages-map/4vvz-yypg,32,2.91,0.00%,3.23%,0:03:13,11.47
shapefiles,/browse/embed?category=&limit=20&limitTo=&q=shapefiles&view_type=rich,32,1.72,0.00%,0.00%,0:00:09,5
census,/Geographic-Locations-and-Boundaries/Census-2010-Census-Blocks-for-San-Francisco-Zipped/d7g8-55kx,30,3,0.00%,14.44%,0:03:59,15.67
city lots,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,30,1.67,0.00%,0.00%,0:00:27,6.43
crime,/Public-Safety/SFPD-Incidents-Current-Year-2015-/ritf-b9ki,30,2.23,0.00%,2.99%,0:04:47,8.77
crime,/Public-Safety/SFPD-Reported-Incidents-2003-to-Present/dyj4-n68b,30,3,0.00%,3.33%,0:02:56,17.7
envista,/City-Infrastructure/Envista-Projects-for-Utility-Excavation-and-Paving/sf93-6dmr,30,2.2,0.00%,0.00%,0:03:05,7
income,/browse/embed?category=&limit=20&limitTo=&q=income&view_type=rich,30,3,0.00%,2.22%,0:02:23,9.27
neighborhoods,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,30,2.23,0.00%,2.99%,0:02:51,7.7
open space,/Culture-and-Recreation/Open-Spaces-City-Planning/zsre-apvm,30,2.2,0.00%,7.58%,0:01:20,7.5
park,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,30,2.3,0.00%,2.90%,0:01:30,11.03
population,/Health-and-Social-Services/Population-Density-San-Francisco-CA/ea9w-4zvc,30,2.57,0.00%,3.90%,0:01:18,11.77
restaurants,/data?search=restaurants,30,1.57,100.00%,0.00%,0:00:09,1.23
fire,/Public-Safety/Fire-Incidents/wr8u-xric,29,1.34,0.00%,15.38%,0:01:52,3.83
food,/Health-and-Social-Services/Restaurant-Scores/stya-26eb,29,2.72,0.00%,7.59%,0:03:37,9.9
parcel,/,29,3.28,0.00%,11.58%,0:04:50,20.31
parcel,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,29,2,0.00%,5.17%,0:02:58,10.34
parking,/,29,2.66,0.00%,12.99%,0:05:47,8.45
pipeline,/Housing-and-Buildings/San-Francisco-Development-Pipeline-2015-Quarter-4/ra2x-jzmk,29,1.1,0.00%,6.25%,0:04:18,4.31
population,/,29,2.86,0.00%,16.87%,0:04:12,16.21
school,/browse/embed?category=&limit=20&limitTo=&q=school&view_type=rich,29,2.76,0.00%,0.00%,0:01:00,8.69
water,/browse/embed?category=&limit=20&limitTo=&q=water&view_type=rich,29,2.59,0.00%,4.00%,0:01:50,8.03
311,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=311&view_type=rich,27,1.56,0.00%,0.00%,0:00:29,3.85
business license,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,27,1.89,0.00%,3.92%,0:04:36,6.22
census,/Economy-and-Community/US-Census-Bureau-Data/d53k-r35r,27,2.04,0.00%,3.64%,0:04:10,7.96
contour,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,27,1.67,0.00%,4.44%,0:00:48,7.78
eviction notices,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,27,1.74,0.00%,0.00%,0:02:31,5.3
footprints,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,27,1.89,0.00%,19.61%,0:01:33,5.33
meter,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,27,2.15,0.00%,46.55%,0:02:17,10.81
muni,/browse/embed?category=&limit=20&limitTo=&q=muni&view_type=rich,27,1.85,0.00%,4.00%,0:00:13,3.67
neighborhood,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,27,4.04,0.00%,9.17%,0:03:15,17.41
open,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,27,2.15,0.00%,3.45%,0:00:15,18.41
parcels,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,27,3.22,0.00%,6.90%,0:07:32,11.11
population,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=population&view_type=rich,27,2.33,0.00%,0.00%,0:04:08,6.37
restaurants,/Economy-and-Community/Registered-Restaurants-in-SF/qwyj-4qec,27,2.33,0.00%,0.00%,0:04:37,9.04
Streets,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,27,3.22,0.00%,5.75%,0:02:34,14.81
topography,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,27,2.67,0.00%,40.28%,0:02:26,9.63
zip code,/Geographic-Locations-and-Boundaries/San-Francisco-ZIP-Codes-Zipped-Shapefile-Format-/9q84-kc2y,27,1.78,0.00%,6.25%,0:01:21,5.04
crime,/Public-Safety/SFPD-Incidents-Previous-Three-Months/tmnf-yvry,26,4.69,0.00%,0.00%,0:04:27,16.15
land use,/browse/embed?category=&limit=20&limitTo=&q=land+use&view_type=rich,26,1.85,0.00%,4.17%,0:00:17,5.12
lots,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,26,2.15,0.00%,8.93%,0:04:14,7.46
parking meters,/browse/embed?category=&limit=20&limitTo=&q=parking+meters&view_type=rich,26,1.5,0.00%,0.00%,0:00:52,3.88
population,/browse/embed?category=&limit=20&limitTo=&q=population&utf8=‰ÏÒ&view_type=rich&page=2,26,1.96,0.00%,3.92%,0:01:42,9.38
zoning districts,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,26,2.96,0.00%,35.06%,0:02:29,8.08
BAN,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,24,1.46,0.00%,37.14%,0:01:38,6.21
bike,/Transportation/Bicycle-Parking-Public-/w969-5mn4,24,3.21,0.00%,3.90%,0:03:54,11.38
building footprints,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,24,2.62,0.00%,46.03%,0:01:19,7.62
business registration,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,24,1.62,0.00%,7.69%,0:02:56,5.5
businesses,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,24,1.62,0.00%,12.82%,0:07:19,5.5
crime,/browse/embed?category=&limit=20&limitTo=&q=crime&utf8=‰ÏÒ&view_type=rich&page=2,24,1.96,0.00%,0.00%,0:04:04,6.62
dataset inventory,/City-Management-and-Ethics/Dataset-Inventory/y8fp-fbf5,24,2,0.00%,0.00%,0:02:28,6.5
neighborhood,/Geographic-Locations-and-Boundaries/Neighborhoods/ejmn-jyk6,24,2.54,0.00%,0.00%,0:00:31,8.04
parking meter,/Transportation/Meter-Location-Lookup/jnyu-ibvn,24,1.79,0.00%,4.65%,0:01:21,16.29
SCHOOL,/browse/embed?category=&limit=20&limitTo=&q=SCHOOL&view_type=rich,24,2.12,0.00%,0.00%,0:00:04,4.29
schools,/Geographic-Locations-and-Boundaries/San-Francisco-Public-Schools-Points/sert-rabb,24,3.12,0.00%,0.00%,0:03:47,10.17
shapefile,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=shapefile&view_type=rich,24,4,0.00%,5.21%,0:01:28,12.71
streets,/,24,3,0.00%,18.06%,0:06:25,13.29
traffic,/,24,3.21,0.00%,7.79%,0:04:41,14.5
311,/,22,3.05,0.00%,7.46%,0:03:27,11.73
bicycle,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,22,2.32,0.00%,0.00%,0:02:52,12.45
census tract,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,22,2.05,0.00%,4.44%,0:04:58,7.82
compensation,/City-Management-and-Ethics/Employee-Compensation/88g8-5mnd,22,1.91,0.00%,0.00%,0:00:55,6.27
Crime,/,22,2.68,0.00%,5.08%,0:04:19,10.36
Crime,/browse/embed?category=&limit=20&limitTo=&q=Crime&view_type=rich,22,1.59,0.00%,0.00%,0:00:13,3.36
elevation,/browse/embed?category=&limit=20&limitTo=&q=elevation&view_type=rich,22,3.27,0.00%,2.78%,0:02:41,8.91
food,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,22,4.09,0.00%,2.22%,0:04:38,12.91
food trucks,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,22,2.27,0.00%,4.00%,0:01:15,6.64
neighborhood,/browse/embed?category=&limit=20&limitTo=&q=neighborhood&view_type=rich,22,2.18,0.00%,4.17%,0:01:04,7.73
neighborhoods,/Geographic-Locations-and-Boundaries/SFFind-Neighborhoods/ejmn-jyk6,22,2.55,0.00%,3.57%,0:02:41,9.18
parking meters,/Transportation/Meter-Operating-Schedules/6cqg-dxku,22,1.68,0.00%,8.11%,0:00:44,4.23
parks,/Culture-and-Recreation/Recreation-Park-Department-Park-Info-Dataset/z76i-7s65,22,4.68,0.00%,4.85%,0:10:07,12.91
school,/Geographic-Locations-and-Boundaries/San-Francisco-Public-Schools-Points/sert-rabb,22,1.82,0.00%,0.00%,0:01:44,7.45
shoreline,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,22,1.82,0.00%,0.00%,0:01:02,8.95
street centerlines,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,22,1.91,0.00%,7.14%,0:01:06,7.64
streets,/browse/embed?category=&limit=20&limitTo=&q=streets&view_type=rich,22,3.05,0.00%,0.00%,0:01:45,17.95
water,/,22,2.91,0.00%,9.38%,0:02:36,12.05
weather,/browse/embed?category=&limit=20&limitTo=&q=weather&view_type=rich,22,1.82,0.00%,0.00%,0:00:46,5.64
zoning,/City-Infrastructure/Parcels-With-Planning-Department-Zoning/fpr2-m7in,22,2.64,0.00%,10.34%,0:02:13,17.64
address,/Geographic-Locations-and-Boundaries/Addresses-Enterprise-Addressing-System/pf3h-w4up,21,1.52,0.00%,6.25%,0:00:49,6.1
bus,/Transportation/SFMTA-routes-and-stops-for-March-2012/f5c3-8kkj,21,1.76,0.00%,5.41%,0:03:04,7.24
crime,/login,21,2.9,0.00%,16.39%,0:22:56,15.9
crime,/Public-Safety/SFPD-Crime-Reporting-Plots-Zipped-Shapefile-Format/5aii-qc4e,21,3.05,0.00%,12.50%,0:04:00,8
data inventory,/City-Management-and-Ethics/Dataset-Inventory/y8fp-fbf5,21,1.86,0.00%,0.00%,0:01:23,6.05
human waste,/City-Management-and-Ethics/Human-Waste/mv85-4ee7,21,2,0.00%,0.00%,0:03:11,7.81
Lot,/browse/embed?category=&limit=20&limitTo=&q=Lot&view_type=rich,21,1.62,0.00%,0.00%,0:00:06,3.19
movies,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,21,2,0.00%,0.00%,0:03:26,5.52
parking meters,/Transportation/Meter-Location-Lookup/jnyu-ibvn,21,1.05,0.00%,0.00%,0:00:53,2.9
restaurant,/browse/embed?category=&limit=20&limitTo=&q=restaurant&view_type=rich,21,2.67,0.00%,0.00%,0:02:58,7.24
SFMTA Bikeway Network,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,21,1.86,0.00%,5.13%,0:01:22,7.19
shapefile,/browse/embed?category=&limit=20&limitTo=&q=shapefile&view_type=rich,21,2.43,0.00%,0.00%,0:03:24,7.62
shoreline,/Geographic-Locations-and-Boundaries/San-Francisco-Shoreline-Zipped-Shapefile-Format-/kj7y-jjpu,21,1.9,0.00%,7.50%,0:01:17,9.48
streets of san francisco,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,21,1.52,0.00%,6.25%,0:00:24,4.81
tree,/City-Infrastructure/Street-Tree-List/tkzw-k3nq,21,2.14,0.00%,0.00%,0:02:03,7.81
weather,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=weather&view_type=rich,21,1.67,0.00%,5.71%,0:02:48,4.19
bicycle,/browse/embed?category=&limit=20&limitTo=&q=bicycle&view_type=rich,19,2.26,0.00%,6.98%,0:00:15,5.21
bicycle,/Transportation/Bicycle-Parking-Public-/w969-5mn4,19,2.05,0.00%,5.13%,0:01:57,8.79
bike network,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,19,4.21,0.00%,7.50%,0:03:33,12.58
business,/,19,2.37,0.00%,11.11%,0:11:23,16.21
Crime,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,19,1.68,0.00%,0.00%,0:06:43,7.11
film locations,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,19,1.68,0.00%,0.00%,0:02:49,9.89
neighborhood,/Geographic-Locations-and-Boundaries/SFFind-Neighborhoods/ejmn-jyk6,19,1.84,0.00%,0.00%,0:01:03,6.58
neighborhoods,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/iacs-ws63,19,1.68,0.00%,6.25%,0:03:07,6.16
parcel,/Geographic-Locations-and-Boundaries/Recorded-Parcel-Geography-with-Transaction-Date-Hi/ue7t-p29i,19,2.53,0.00%,0.00%,0:00:42,9.79
parking,/browse/embed?category=Transportation&limit=20&limitTo=&q=parking&view_type=rich,19,3.37,0.00%,7.81%,0:04:23,11.32
parking,/Transportation/On-street-Parking-Census/3gg2-z57m,19,2.26,0.00%,6.98%,0:02:28,8.79
restaurant,/,19,2.79,0.00%,11.32%,0:05:50,14.63
street,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,19,3.05,0.00%,17.24%,0:02:20,12.74
311,/City-Infrastructure/311-Information-Requests-by-Month/hrr4-hjc6,18,2.5,0.00%,0.00%,0:03:01,9.78
311 cases,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,18,2.33,0.00%,0.00%,0:03:58,6.78
bike parking,/Transportation/Bicycle-Parking-Public-/w969-5mn4,18,1.94,0.00%,5.71%,0:01:05,11.83
business account number,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,18,1.44,0.00%,11.54%,0:00:36,3.67
businesses,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,18,2.17,0.00%,5.13%,0:01:07,8.39
census shapefile,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,18,2.61,0.00%,51.06%,0:05:47,14.44
citylots,/,18,3.06,0.00%,3.64%,0:03:40,14.44
citylots,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,18,1.61,0.00%,0.00%,0:01:00,6.61
curb,/Geographic-Locations-and-Boundaries/City-curbs-and-islands-Zipped-Shapefile-Format-/nvxg-zay4,18,1.44,0.00%,0.00%,0:00:14,4.28
curbs,/Geographic-Locations-and-Boundaries/City-curbs-and-islands-Zipped-Shapefile-Format-/nvxg-zay4,18,1.44,0.00%,0.00%,0:00:23,4.28
energy,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=energy&view_type=rich,18,2.17,0.00%,0.00%,0:01:48,4.61
eviction,/Housing-and-Buildings/No-fault-Evictions-San-Francisco-CA/cx63-mamk,18,2.33,0.00%,4.76%,0:05:31,13
fire,/Public-Safety/Fire-Incidents/i69v-qbqc,18,2.06,0.00%,0.00%,0:01:56,8.89
food truck,/Economy-and-Community/Mobile-Food-Schedule/jjew-r69b,18,2.61,0.00%,0.00%,0:03:54,12.67
homeless,/Health-and-Social-Services/2011-Unsheltered-Homeless-Population-by-Supervisor/ibax-2ewt,18,1.33,0.00%,0.00%,0:00:38,3.56
Housing,/browse/embed?category=&limit=20&limitTo=&q=Housing&view_type=rich,18,1.94,0.00%,0.00%,0:00:04,5
incidents,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,18,1.44,0.00%,19.23%,0:01:54,3.67
inclusionary,/Housing-and-Buildings/Residential-Projects-Subject-to-the-Inclusionary-A/f2n6-ybnq,18,2.5,0.00%,0.00%,0:05:15,11.61
lobbyist,/City-Management-and-Ethics/Lobbyist-Activity-Contacts-of-Public-Officials/hr5m-xnxc,18,2.83,0.00%,3.92%,0:06:12,8.72
mobile food,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,18,3.11,0.00%,5.36%,0:03:54,14.17
operate business,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,18,2.17,0.00%,5.13%,0:01:13,23.56
Parking meters,/Transportation/Parking-meters/28my-4796,18,1.33,0.00%,8.33%,0:07:47,4.17
parks,/Culture-and-Recreation/Open-Spaces-City-Planning/zsre-apvm,18,4.28,0.00%,18.18%,0:05:31,14
