search_term,result_count_raw,result_count,result_datasets
restaurant,"
      1 Result
      filtered by  ",1,Food Inspections - LIVES Standard
muni,"
      1 Result
      filtered by  ",1,Muni Driver Reported Transit Only Lane Violations
neighborhoods,"
      44 Results
      filtered by  ",44,"Case Data from San Francisco 311 (SF311), Historic Secured Property Tax Rolls, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2015 Quarter 4, Community Resiliency Indicator System, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Residential Projects With Inclusionary Requirements, Carshare Onstreet, Registered Business Locations - San Francisco"
homeless,"
      3 Results
      filtered by  ",3,"San Francisco Flood Health Vulnerability, HSA 90 day emergency shelter waitlist, Affordable Housing Pipeline"
housing,"
      52 Results
      filtered by  ",52,"2013 Housing Inventory, Housing Balance March 2016, 2012 Housing Inventory, 2011 Housing Inventory, Mayor’s Office of Housing and Community Development Grants and Loans, Affordable Housing Pipeline, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline 2015 Quarter 2, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2015 Quarter 4"
zoning,"
      25 Results
      filtered by  ",25,"SFMTA-Enforced Temporary Tow Zones, San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2016 Quarter 1, Blue Zone (Accessible) Parking, 2013 Housing Inventory, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2012 Quarter 2, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2014 Quarter 2"
pipeline,"
      20 Results
      filtered by  ",20,"Affordable Housing Pipeline, San Francisco Development Pipeline 2014 Quarter 4, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2012 Quarter 2, San Francisco Development Pipeline 2014 Quarter 2, San Francisco Development Pipeline 2013 Quarter 3, San Francisco Development Pipeline 2013 Quarter 2, San Francisco Development Pipeline 2014 Quarter 1"
meter,"
      5 Results
      filtered by  ",5,"Parking meters, Meter Rate Schedules, Metered motorcycle spaces, Meter Operating Schedules, Blue Zone (Accessible) Parking"
school,"
      4 Results
      filtered by  ",4,"Schools, Street Intersections Served by the SFMTA School Crossing Guard Program, List of Historical Ballot Measures, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
parcels,"
      18 Results
      filtered by  ",18,"Boiler Permits, Historic Secured Property Tax Rolls, Plumbing Permits, Electrical Permits, 2011 Housing Inventory, Building Permits, Envista Projects for Utility Excavation and Paving, 2012 Housing Inventory, Building Complaints, Addresses with Units - Enterprise Addressing System (EAS)"
building,"
      54 Results
      filtered by  ",54,"Existing Commercial Buildings Energy Performance Ordinance Report, Building Permits, San Francisco Development Pipeline 2015 Quarter 1, San Francisco Development Pipeline 2013 Quarter 3, Building Complaints, Energy Benchmarking, San Francisco Municipal Buildings, Updated Treasure Island Addresses and Building Numbers, Notices of Violation issued by the Department of Building Inspection, Residential Projects With Inclusionary Requirements, Boiler Permits"
elevation,"
      1 Result
      filtered by  ",1,San Francisco Flood Health Vulnerability
fire,"
      14 Results
      filtered by  ",14,"Fire Department Calls for Service, Fire Incidents, Fire Violations, Fire Inspections, Fire Permits, Fire Safety Complaints, Spending And Revenue, Vendor Payments (Purchase Order Summary), Budget, Budget - FTE"
bicycle,"
      5 Results
      filtered by  ",5,"Bicycle Parking (Public), Street-Use Permits, Bicycle Green Wave Signal Timing, Bike Volume Manual Counts, Bike Counters"
rent,"
      6 Results
      filtered by  ",6,"Petitions to the Rent Board, Appeals to the Rent Board, Annual Allowable Rent Increase for Units Under Rent Control, Buyout agreements, Eviction Notices, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
food,"
      4 Results
      filtered by  ",4,"Mobile Food Facility Permit, Mobile Food Schedule, Food Inspections - LIVES Standard, Street-Use Permits"
trees,"
      4 Results
      filtered by  ",4,"Street Tree List, List of Blocks Where DPW Has a Tree Maintenance Agreement, DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, FY07-11 Street Evaluation Results"
parking%20meters,"
      5 Results
      filtered by  ",5,"Parking meters, Metered motorcycle spaces, Meter Rate Schedules, Meter Operating Schedules, Blue Zone (Accessible) Parking"
tree,"
      4 Results
      filtered by  ",4,"List of Blocks Where DPW Has a Tree Maintenance Agreement, Street Tree List, DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, FY07-11 Street Evaluation Results"
open%20business,"
      2 Results
      filtered by  ",2,"Parking Spaces at Off-street Parking Facilities, Call Center Metrics for the Health Service System"
park,"
      32 Results
      filtered by  ",32,"Park Scores 2005-2014, Parking meters, Park Evaluation Scores starting Fiscal Year 2015, Off-Street parking lots and parking garages, Recreation & Park Department Park Info Dataset, Bicycle Parking (Public), Blue Zone (Accessible) Parking, Parking Spaces at Off-street Parking Facilities, Aircraft Parking Activity Records at SFO, Assets Maintained by the Recreation and Parks Department"
schools,"
      4 Results
      filtered by  ",4,"Schools, Street Intersections Served by the SFMTA School Crossing Guard Program, List of Historical Ballot Measures, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions"
building%20footprints,"
      1 Result
      filtered by  ",1,Schools
police,"
      11 Results
      filtered by  ",11,"Police Calls for Service, Police Stations (2011), SFPD Incidents - from 1 January 2003, Spending And Revenue, Vendor Payments (Purchase Order Summary), Budget, Budget - FTE, Spending - FTE, Employee Compensation, Vendor Payments (Vouchers)"
bart,"
      0 Results
      filtered by  ",0,
gis,"
      5 Results
      filtered by  ",5,"List of Streets and Intersections, Street Names, Stormwater inlets, drains and catch basins, San Francisco Flood Health Vulnerability, Parking Spaces at Off-street Parking Facilities"
street%20cleaning,"
      2 Results
      filtered by  ",2,"FY07-11 Street Evaluation Results, DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present"
taxi,"
      0 Results
      filtered by  ",0,
transit,"
      2 Results
      filtered by  ",2,"Muni Driver Reported Transit Only Lane Violations, Schools"
roads,"
      0 Results
      filtered by  ",0,
budget,"
      5 Results
      filtered by  ",5,"Budget, Budget - FTE, Scorecard Measures, Citywide Performance Measurement Annual Report FY14 Dataset, Citywide Performance Measurement Annual Report FY13 Dataset"
bus,"
      1 Result
      filtered by  ",1,Parking meters
buildings,"
      54 Results
      filtered by  ",54,"Existing Commercial Buildings Energy Performance Ordinance Report, Building Permits, Street Space Permits aka: DPT Tow Verification List, Building Complaints, Energy Benchmarking, San Francisco Municipal Buildings, Updated Treasure Island Addresses and Building Numbers, Notices of Violation issued by the Department of Building Inspection, Residential Projects With Inclusionary Requirements, Boiler Permits, San Francisco Development Pipeline 2016 Quarter 1"
san%20francisco,"
      196 Results
      filtered by  ",196,"Film Locations in San Francisco, Registered Business Locations - San Francisco, Case Data from San Francisco 311 (SF311), Current San Francisco Advisories, San Francisco Department of Public Health Flu Shot Locations 2013, San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Flood Health Vulnerability, San Francisco Development Pipeline 2014 Quarter 4, San Francisco Development Pipeline 2015 Quarter 2"
weather,"
      2 Results
      filtered by  ",2,"Existing Commercial Buildings Energy Performance Ordinance Report, Late Night Preferential Runway Use"
education,"
      21 Results
      filtered by  ",21,"SF Civic Art Collection, Scorecard Measures, List of Historical Ballot Measures, San Francisco Department of Public Health Flu Shot Locations 2013, San Francisco Communitywide Greenhouse Gas Inventory, Schools, San Francisco Flood Health Vulnerability, SFEC 3.216(d) Gifts of Travel Filings, Statement of Economic Interests (SEI) (Form 700) - Filing Officers and Department Heads, Street Intersections Served by the SFMTA School Crossing Guard Program"
sfpd,"
      2 Results
      filtered by  ",2,"SFPD Incidents - from 1 January 2003, Police Calls for Service"
shapefiles,"
      3 Results
      filtered by  ",3,"Metered motorcycle spaces, Off-Street parking lots and parking garages, Parking meters"
energy,"
      4 Results
      filtered by  ",4,"Existing Commercial Buildings Energy Performance Ordinance Report, Energy Benchmarking, San Francisco Municipal Buildings, San Francisco Municipal Greenhouse Gas Inventory, San Francisco Communitywide Greenhouse Gas Inventory"
eviction,"
      4 Results
      filtered by  ",4,"Eviction Notices, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Buyout agreements, Petitions to the Rent Board"
parking%20meter,"
      5 Results
      filtered by  ",5,"Parking meters, Metered motorcycle spaces, Meter Rate Schedules, Meter Operating Schedules, Blue Zone (Accessible) Parking"
salary,"
      13 Results
      filtered by  ",13,"Salary Ranges by Job Classification, Employee Compensation, Lobbyist Activity - Activity Expenses, Full Time Employees By Job Classification, Spending And Revenue, Job Titles by Classification, Vendor Payments (Purchase Order Summary), Budget, Budget - FTE, Spending - FTE"
topography,"
      0 Results
      filtered by  ",0,
evictions,"
      4 Results
      filtered by  ",4,"Eviction Notices, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, Buyout agreements, Petitions to the Rent Board"
property,"
      8 Results
      filtered by  ",8,"Historic Secured Property Tax Rolls, Form 700 Schedule A2, Recreation & Park Department Park Info Dataset, Fire Incidents, Existing Commercial Buildings Energy Performance Ordinance Report, Assets Maintained by the Recreation and Parks Department, Eviction Notices, Form 700 Schedule B"
business%20license,"
      2 Results
      filtered by  ",2,"Schools, Permit Consultant Registration and Quarterly Disclosure Reports"
sfmta,"
      13 Results
      filtered by  ",13,"SFMTA-Enforced Temporary Tow Zones, Off-Street parking lots and parking garages, Metered motorcycle spaces, Bicycle Parking (Public), Bike Share Stations, Street Intersections Served by the SFMTA School Crossing Guard Program, Right of Way Exception Data, Meter Operating Schedules, San Francisco Municipal Greenhouse Gas Inventory, Meter Rate Schedules"
address,"
      56 Results
      filtered by  ",56,"Addresses - Enterprise Addressing System, Addresses with Units - Enterprise Addressing System (EAS), Updated Treasure Island Addresses and Building Numbers, SFPD Incidents - from 1 January 2003, Case Data from San Francisco 311 (SF311), Mobile Food Facility Permit, Eviction Notices, Off-Street parking lots and parking garages, Fire Department Calls for Service, Fire Incidents"
shoreline,"
      0 Results
      filtered by  ",0,
zip%20code,"
      21 Results
      filtered by  ",21,"Supervisor District to ZIP Code Crosswalk, Registered Business Locations - San Francisco, Campaign Finance - San Francisco Campaign Committees and Other Campaign Filers, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions, Campaign Finance - FPPC Form 497 - Late Contribution Report - Late Contributions Made, Energy Benchmarking, San Francisco Municipal Buildings, Campaign Finance - FPPC Form 460 - Schedule E - Payments Made, Campaign Finance - FPPC Form 460 - Schedule G - Payments Made by an Agent or Independent Contractor, Campaign Finance - FPPC Form 460 - Schedule F - Accrued Expenses (Unpaid Bills), Campaign Finance - FPPC Form 460 - Schedule D - Summary of Expenditures Supporting/Opposing Other Candidates, Measures and Committees"
assessor,"
      2 Results
      filtered by  ",2,"Historic Secured Property Tax Rolls, Existing SF Commercial Wireless Facilities - April 2015"
health,"
      10 Results
      filtered by  ",10,"Health Care Facilities, San Francisco Flood Health Vulnerability, San Francisco Department of Public Health Flu Shot Locations 2013, Call Center Metrics for the Health Service System, Schools, Food Inspections - LIVES Standard, Community Resiliency Indicator System, City and County of San Francisco - LIVES standard feed info, HSA 90 day emergency shelter waitlist, Employee Compensation"
transportation,"
      47 Results
      filtered by  ",47,"Parking meters, Off-Street parking lots and parking garages, Meter Rate Schedules, Bicycle Parking (Public), Stop Signs, San Francisco Communitywide Greenhouse Gas Inventory, Aircraft Parking Activity Records at SFO, Aircraft Noise Complaint Data, Purchasing Commodity Data, SFO Passenger Services"
building%20footprint,"
      1 Result
      filtered by  ",1,Schools
noise,"
      4 Results
      filtered by  ",4,"Aircraft Noise Complaint Data, Noise Exceedance Rating, Late Night Preferential Runway Use, Nighttime Power Runups"
contour,"
      0 Results
      filtered by  ",0,
inventory,"
      12 Results
      filtered by  ",12,"Dataset Inventory, Inventory of citywide enterprise systems of record, Department Open Data Inventory and Plan Status, 2013 Housing Inventory, 2012 Housing Inventory, 2011 Housing Inventory, San Francisco Municipal Greenhouse Gas Inventory, San Francisco Communitywide Greenhouse Gas Inventory, 2014 Housing Inventory, Aircraft Parking Location Inventory at SFO"
pedestrian,"
      2 Results
      filtered by  ",2,"Estimated Yearly Pedestrian Volume at Intersections, Traffic Signals"
street%20sweeping,"
      2 Results
      filtered by  ",2,"DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, FY07-11 Street Evaluation Results"
open%20space,"
      7 Results
      filtered by  ",7,"Spending And Revenue, Vendor Payments (Purchase Order Summary), Budget, Spending - FTE, Vendor Payments (Vouchers), Parking Spaces at Off-street Parking Facilities, Parklet Permits"
contours,"
      0 Results
      filtered by  ",0,
road,"
      0 Results
      filtered by  ",0,
businesses,"
      18 Results
      filtered by  ",18,"Registered Business Locations - San Francisco, Airport (SFO) Contract Opportunities, Form 700 Schedule D, Form 700 Schedule A1, Form 700 Schedule A2, Off-Street parking lots and parking garages, Form 700 Schedule C, Expenditure Lobbyists Registration and Monthly Disclosure Reports, Campaign Finance - SFEC 1.126 Notification of Contract Approval Filings, Parking Spaces at Off-street Parking Facilities"
graffiti,"
      3 Results
      filtered by  ",3,"DPW Street & Sidewalk Evaluation Results, 7-1-2013 to Present, FY07-11 Street Evaluation Results, Graffiti - 30 Days"
permit,"
      41 Results
      filtered by  ",41,"Mobile Food Facility Permit, Permit Types, Building Permits, Mobile Food Schedule, Street-Use Permits, Fire Permits, Parklet Permits, Boiler Permits, Plumbing Permits, Electrical Permits"
sewer,"
      1 Result
      filtered by  ",1,"Stormwater inlets, drains and catch basins"
district,"
      61 Results
      filtered by  ",61,"Supervisor District to ZIP Code Crosswalk, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline 2015 Quarter 4, San Francisco City Survey Data 1996-2015, Campaign Finance - Summary of Third Party Expenditures Regarding San Francisco Candidates - November 3, 2015, Campaign Finance - Summary of Third Party Disclosure Forms Regarding San Francisco Candidates - November 6, 2012, San Francisco Development Pipeline 2015 Quarter 1, FY07-11 Street Evaluation Results, Campaign Finance - Public Funds Disbursed - November 6, 2012 Election, Campaign Finance - Individual Expenditure Ceilings (IECs) - November 6, 2012 Election"
food%20truck,"
      3 Results
      filtered by  ",3,"Mobile Food Schedule, Mobile Food Facility Permit, Street-Use Permits"
inclusionary,"
      2 Results
      filtered by  ",2,"Residential Projects With Inclusionary Requirements, Regression data for Inclusionary Housing Simulation Model"
building%20permits,"
      25 Results
      filtered by  ",25,"Building Permits, San Francisco Development Pipeline 2016 Quarter 2, Permit Consultant Registration and Quarterly Disclosure Reports, Boiler Permits, Plumbing Permits, Electrical Permits, Street Space Permits aka: DPT Tow Verification List, San Francisco Development Pipeline 2016 Quarter 1, San Francisco Development Pipeline 2015 Quarter 3, San Francisco Development Pipeline 2015 Quarter 4"
boundary,"
      24 Results
      filtered by  ",24,"SFPD Incidents - from 1 January 2003, Street Names, Supervisor District to ZIP Code Crosswalk, Registered Business Locations - San Francisco, census_tracts_odata2, Street Segment and Intersection (CNN) Change Log, Requests for Information Regarding Protected Status Related to Owner Move-In Evictions, List of Streets and Intersections, City College of San Francisco Facilities, Buyout agreements"
operate%20business,"
      0 Results
      filtered by  ",0,
bay%20area,"
      1 Result
      filtered by  ",1,Bike Share Stations
map,"
      19 Results
      filtered by  ",19,"Street Names, Street Segment and Intersection (CNN) Change Log, Miles Of Streets, SFO Passenger Services, SFO Things To Do, Lobbyist Data Name Mapping, Campaign Finance - Committee Name to Measure or Candidate Mapping for June 7, 2016 and November 8, 2016 Elections, Campaign Finance - Ballot Measure Committee Name Mapping - November 4 2014 Election, Campaign Finance - Committee Name to Measure or Candidate Mapping for November 3, 2015 Election, Registered Business Locations - San Francisco"
permits,"
      41 Results
      filtered by  ",41,"Mobile Food Facility Permit, Street-Use Permits, Fire Permits, Permit Types, Utility Excavation Permits, Surface Mounted Facility Permits, Large Utility Excavation Permits, Wireless Service Facility Permits, Building Permits, Boiler Permits"
zoning%20districts,"
      8 Results
      filtered by  ",8,"San Francisco Development Pipeline 2015 Quarter 4, Existing SF Commercial Wireless Facilities - April 2015, San Francisco Development Pipeline 2016 Quarter 1, SF Development Pipeline 2016 Q3, Carshare Onstreet, San Francisco Development Pipeline 2015 Quarter 1, 2014 Housing Inventory, Historic Secured Property Tax Rolls"
total%20housing%20units,"
      14 Results
      filtered by  ",14,"Mayor’s Office of Housing and Community Development Affordable Rental Portfolio, Residential Projects With Inclusionary Requirements, San Francisco Development Pipeline 2013 Quarter 1, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2012 Quarter 1, San Francisco Development Pipeline 2012 Quarter 2, San Francisco Development Pipeline 2014 Quarter 2, San Francisco Development Pipeline 2012 Quarter 4, San Francisco Development Pipeline 2013 Quarter 3"
460,"
      13 Results
      filtered by  ",13,"Campaign Finance - FPPC Form 460 - Summary Totals, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions, Campaign Finance - FPPC Form 460 - Schedule E - Payments Made, Campaign Finance - FPPC Form 460 - Schedule C - Non-Monetary Contributions, Campaign Finance - FPPC Form 460 - Schedule B1 - Loans Received, Campaign Finance - FPPC Form 460 - Schedule I - Miscellaneous Increases to Cash, Campaign Finance - FPPC Form 460 - Schedule G - Payments Made by an Agent or Independent Contractor, Campaign Finance - FPPC Form 460 - Schedule H - Loans Made to Others, Campaign Finance - FPPC Form 460 - Schedule F - Accrued Expenses (Unpaid Bills), Campaign Finance - FPPC Form 460 - Schedule D - Summary of Expenditures Supporting/Opposing Other Candidates, Measures and Committees"
demographics,"
      9 Results
      filtered by  ",9,"Community Resiliency Indicator System, Building Permits, San Francisco Development Pipeline 2015 Quarter 1, Boiler Permits, Plumbing Permits, Electrical Permits, Call Center Metrics for the Health Service System, San Francisco Flood Health Vulnerability, San Francisco City Survey Data 1996-2015"
food%20trucks,"
      3 Results
      filtered by  ",3,"Mobile Food Schedule, Mobile Food Facility Permit, Street-Use Permits"
districts,"
      61 Results
      filtered by  ",61,"Supervisor District to ZIP Code Crosswalk, SFPD Incidents - from 1 January 2003, Fire Safety Complaints, Fire Violations, Campaign Finance - Public Funds Disbursed - November 6, 2012 Election, San Francisco Development Pipeline 2015 Quarter 4, Campaign Finance - Individual Expenditure Ceilings (IECs) - November 6, 2012 Election, Graffiti - 30 Days, Fire Department Calls for Service, Fire Inspections"
ban,"
      2 Results
      filtered by  ",2,"Compensated Advocacy Ban Waivers, Post- Employment Restriction Waivers"
footprint,"
      1 Result
      filtered by  ",1,Schools
blocks,"
      39 Results
      filtered by  ",39,"List of Blocks Where DPW Has a Tree Maintenance Agreement, Boiler Permits, 2011 Housing Inventory, Mobile Food Schedule, Mobile Food Facility Permit, 2012 Housing Inventory, Right of Way Exception Data, Meter Operating Schedules, Plumbing Permits, Electrical Permits"
city%20lots,"
      6 Results
      filtered by  ",6,"Historic Secured Property Tax Rolls, Right of Way Exception Data, Envista Projects for Utility Excavation and Paving, Building Complaints, Addresses with Units - Enterprise Addressing System (EAS), Existing SF Commercial Wireless Facilities - April 2015"
hospital,"
      1 Result
      filtered by  ",1,Fire Department Calls for Service
addresses,"
      56 Results
      filtered by  ",56,"Addresses - Enterprise Addressing System, Addresses with Units - Enterprise Addressing System (EAS), Updated Treasure Island Addresses and Building Numbers, Case Data from San Francisco 311 (SF311), Graffiti - 30 Days, Registered Business Locations - San Francisco, Mobile Food Facility Permit, NOI - Notice of Intent, Police Calls for Service, Fire Department Calls for Service"
block,"
      39 Results
      filtered by  ",39,"Mobile Food Facility Permit, List of Blocks Where DPW Has a Tree Maintenance Agreement, Mobile Food Schedule, Right of Way Exception Data, San Francisco Development Pipeline 2012 Quarter 1, 2013 Housing Inventory, Building Permits, San Francisco Development Pipeline 2013 Quarter 4, San Francisco Development Pipeline 2012 Quarter 2, Boiler Permits"
crimes,"
      2 Results
      filtered by  ",2,"Police Calls for Service, SFPD Incidents - from 1 January 2003"
construction,"
      31 Results
      filtered by  ",31,"Envista Projects for Utility Excavation and Paving, Envista Projects for Paving, San Francisco Development Pipeline 2014 Quarter 3, San Francisco Development Pipeline 2013 Quarter 4, Street Space Permits aka: DPT Tow Verification List, San Francisco Development Pipeline 2015 Quarter 1, San Francisco Development Pipeline 2014 Quarter 2, San Francisco Development Pipeline 2012 Quarter 4, San Francisco Development Pipeline 2014 Quarter 1, Airport (SFO) Contract Opportunities"
curb,"
      2 Results
      filtered by  ",2,"Curb Ramps, Blue Zone (Accessible) Parking"
human%20waste,"
      0 Results
      filtered by  ",0,
library,"
      0 Results
      filtered by  ",0,
business%20account%20number,"
      1 Result
      filtered by  ",1,Registered Business Locations - San Francisco
hotel,"
      2 Results
      filtered by  ",2,"Petitions to the Rent Board, 2014 Housing Inventory"
sfo,"
      19 Results
      filtered by  ",19,"2011 SFO Customer Survey Data Set + Dictionary, SFO Gate and Stand Assignment Information, 2013 SFO Customer Survey Data Set + Dictionary, 2012 SFO Customer Survey Data Set + Dictionary, SFO Passenger Services, SFO Things To Do, SFO Museum Exhibitions, Aircraft Parking Activity Records at SFO, Air Traffic Landings Statistics, Airport (SFO) Contract Opportunities"
zip%20codes,"
      21 Results
      filtered by  ",21,"Supervisor District to ZIP Code Crosswalk, Registered Business Locations - San Francisco, Campaign Finance - San Francisco Campaign Committees and Other Campaign Filers, Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions, Campaign Finance - FPPC Form 497 - Late Contribution Report - Late Contributions Made, Energy Benchmarking, San Francisco Municipal Buildings, Campaign Finance - FPPC Form 460 - Schedule E - Payments Made, Campaign Finance - FPPC Form 460 - Schedule G - Payments Made by an Agent or Independent Contractor, Campaign Finance - FPPC Form 460 - Schedule F - Accrued Expenses (Unpaid Bills), Campaign Finance - FPPC Form 460 - Schedule D - Summary of Expenditures Supporting/Opposing Other Candidates, Measures and Committees"
film,"
      1 Result
      filtered by  ",1,Film Locations in San Francisco
open%20spaces,"
      7 Results
      filtered by  ",7,"Spending And Revenue, Vendor Payments (Purchase Order Summary), Budget, Spending - FTE, Vendor Payments (Vouchers), Parking Spaces at Off-street Parking Facilities, Parklet Permits"
poop,"
      0 Results
      filtered by  ",0,
streets%20of%20san%20francisco,"
      45 Results
      filtered by  ",45,"Street Names, Street Segment and Intersection (CNN) Change Log, Street-Use Permits, Streets Data - Pavement Condition Index (PCI) Scores, Market Street Hub, List of Streets and Intersections, Registered Business Locations - San Francisco, Street Acceptance Data, Utility Excavation Permits, Street Tree List"
tax,"
      7 Results
      filtered by  ",7,"Historic Secured Property Tax Rolls, Registered Business Locations - San Francisco, List of Historical Ballot Measures, Fire Permits, Addresses with Units - Enterprise Addressing System (EAS), Campaign Finance / Lobbyist - Filers With Unpaid Late Filing Fees, Permit Consultant Registration and Quarterly Disclosure Reports"
census%20tract,"
      1 Result
      filtered by  ",1,census_tracts_odata2
fire%20incidents,"
      2 Results
      filtered by  ",2,"Fire Incidents, Fire Department Calls for Service"
lobbyist,"
      10 Results
      filtered by  ",10,"Lobbyist Activity - Contacts of Public Officials, Lobbyist Directory, Lobbyist Activity - Political Contributions, Lobbyist Activity - Payments Promised By Clients, Lobbyist Client Directory, Lobbyist Activity - Activity Expenses, Lobbyist Data Name Mapping, Campaign Finance / Lobbyist - Filers With Unpaid Late Filing Fees, Lobbyists on Behalf of the City Disclosure Reports, Expenditure Lobbyists Registration and Monthly Disclosure Reports"
911,"
      2 Results
      filtered by  ",2,"Fire Department Calls for Service, Police Calls for Service"
